task_num,task_id,instruction,libero_plus_id,suite,category,difficulty_level
1,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_table_2,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,80,libero_spatial,Background Textures,L3
2,pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_27,Pick the tomato sauce and place it in the basket,241,libero_object,Background Textures,L5
3,pick_up_the_milk_and_place_it_in_the_basket_light_15,Pick the milk and place it in the basket,2408,libero_object,Light Conditions,L2
4,put_the_bowl_on_the_stove_light_11,Put the bowl on the stove,2467,libero_goal,Light Conditions,L4
5,pick_up_the_alphabet_soup_and_place_it_in_the_basket_light_3,Pick the alphabet soup and place it in the basket,,libero_object,Light Conditions,L2
6,pick_up_the_bbq_sauce_and_place_it_in_the_basket_light_3,Pick the bbq sauce and place it in the basket,,libero_object,Light Conditions,L3
7,pick_up_the_butter_and_place_it_in_the_basket_light_3,Pick the butter and place it in the basket,,libero_object,Light Conditions,L4
8,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_light_3,Pick the chocolate pudding and place it in the basket,,libero_object,Light Conditions,L2
9,pick_up_the_cream_cheese_and_place_it_in_the_basket_light_3,Pick the cream cheese and place it in the basket,,libero_object,Light Conditions,L3
10,pick_up_the_ketchup_and_place_it_in_the_basket_light_3,Pick the ketchup and place it in the basket,,libero_object,Light Conditions,L4
11,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_8,Pick the alphabet soup and place it in the basket,,libero_object,Background Textures,L3
12,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_8,Pick the bbq sauce and place it in the basket,,libero_object,Background Textures,L4
13,pick_up_the_butter_and_place_it_in_the_basket_table_8,Pick the butter and place it in the basket,,libero_object,Background Textures,L5
14,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_8,Pick the chocolate pudding and place it in the basket,,libero_object,Background Textures,L3
15,pick_up_the_cream_cheese_and_place_it_in_the_basket_table_8,Pick the cream cheese and place it in the basket,,libero_object,Background Textures,L4
16,open_the_middle_drawer_of_the_cabinet_light_3,Open the middle layer of the drawer,,libero_goal,Light Conditions,L2
17,open_the_top_drawer_and_put_the_bowl_inside_light_3,Open the top layer of the drawer and put the bowl inside,,libero_goal,Light Conditions,L3
18,push_the_plate_to_the_front_of_the_stove_light_3,Push the plate to the front of the stove,,libero_goal,Light Conditions,L4
19,put_the_bowl_on_the_plate_light_3,Put the bowl on the plate,,libero_goal,Light Conditions,L2
20,put_the_bowl_on_the_stove_light_3,Put the bowl on the stove,,libero_goal,Light Conditions,L3
21,put_the_bowl_on_top_of_the_cabinet_light_3,Put the bowl on the top of the drawer,,libero_goal,Light Conditions,L4
22,open_the_middle_drawer_of_the_cabinet_table_8,Open the middle layer of the drawer,,libero_goal,Background Textures,L5
23,open_the_top_drawer_and_put_the_bowl_inside_table_8,Open the top layer of the drawer and put the bowl inside,,libero_goal,Background Textures,L3
24,push_the_plate_to_the_front_of_the_stove_table_8,Push the plate to the front of the stove,,libero_goal,Background Textures,L4
25,put_the_bowl_on_the_plate_table_8,Put the bowl on the plate,,libero_goal,Background Textures,L5
26,put_the_bowl_on_the_stove_table_8,Put the bowl on the stove,,libero_goal,Background Textures,L3
27,put_the_bowl_on_top_of_the_cabinet_table_8,Put the bowl on the top of the drawer,,libero_goal,Background Textures,L4
28,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_light_3,Pick the akita black bowl between the plate and the ramekin and place it on the plate,,libero_spatial,Light Conditions,L2
29,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_light_3,Pick the akita black bowl from table center and place it on the plate,,libero_spatial,Light Conditions,L3
30,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_light_3,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,,libero_spatial,Light Conditions,L4
31,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_light_3,Pick the akita black bowl next to the cookies box and place it on the plate,,libero_spatial,Light Conditions,L2
32,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_light_3,Pick the akita black bowl next to the plate and place it on the plate,,libero_spatial,Light Conditions,L3
33,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_light_3,Pick the akita black bowl next to the ramekin and place it on the plate,,libero_spatial,Light Conditions,L4
34,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_light_3,Pick the akita black bowl on the cookies box and place it on the plate,,libero_spatial,Light Conditions,L2
35,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_8,Pick the akita black bowl between the plate and the ramekin and place it on the plate,,libero_spatial,Background Textures,L5
36,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_8,Pick the akita black bowl from table center and place it on the plate,,libero_spatial,Background Textures,L3
37,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_table_8,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,,libero_spatial,Background Textures,L4
38,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_8,Pick the akita black bowl next to the cookies box and place it on the plate,,libero_spatial,Background Textures,L5
